Price,Close,High,Low,Open,Volume
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
2002-07-01,14.235882759094238,14.52223684951463,13.704082429133221,13.929073877495986,847376
2002-07-02,14.522235870361328,14.563143718482907,13.7040815051435,13.7040815051435,676474
2002-07-03,14.379057884216309,14.72677284925438,14.297242190918933,14.72677284925438,574661
2002-07-04,14.726774215698242,14.829043841809188,14.419967068841338,14.62450632106323,1148300
2002-07-05,13.990434646606445,14.501780982671903,13.908618955799858,14.338149601058726,903273
2002-07-08,13.908618927001953,14.194972978494254,13.806350179443328,14.01088767456058,572054
2002-07-09,13.724535942077637,14.051797007803879,13.683628092427368,14.031343948716696,657548
2002-07-10,13.683629035949707,14.09270582918341,13.642721183478734,13.99043706374399,840243
2002-07-11,13.335912704467773,13.908620888207954,13.295004853380906,13.908620888207954,1105675
2002-07-12,13.131376266479492,13.58136006843493,13.070013619036494,13.58136006843493,1212941
2002-07-15,13.008651733398438,13.233644050474147,12.947289956267428,13.090467436239782,613201
2002-07-16,12.988195419311523,13.090465029057023,12.66093353386375,12.66093353386375,490166
2002-07-17,12.78365707397461,13.070011135105245,12.70184224632149,12.92683453740887,490399
2002-07-18,12.926836013793945,13.192736181945516,12.885928162426321,13.131375270632066,246819
2002-07-19,12.926836013793945,13.070012627842644,12.885928162426321,13.049559567896818,273717
2002-07-22,12.865473747253418,13.049559071403884,12.681389288840906,13.00865122159267,430722
2002-07-23,12.722295761108398,12.885926276897731,12.497302611508507,12.885926276897731,485732
2002-07-24,12.599574089050293,12.763205494786497,12.476851400486128,12.763205494786497,250128
2002-07-25,12.763205528259277,13.090467474851975,12.742750736750619,12.885928217145295,393443
2002-07-26,12.476850509643555,12.681388886471856,12.333673905585123,12.5177583581568,437573
2002-07-29,12.476850509643555,12.885927263300157,12.374581754098367,12.885927263300157,491284
2002-07-30,12.45639705657959,12.885928646331866,12.41549093515179,12.885928646331866,467602
2002-07-31,12.824564933776855,12.926834550620134,11.985956672875641,12.476849967985489,948395
2002-08-01,12.37458324432373,12.7222982670845,12.231405757285035,12.681390413644873,616734
2002-08-02,12.333674430847168,12.395035340492326,12.190496954953218,12.313219639981497,280372
2002-08-05,12.354126930236816,12.476850475440125,12.313219081835713,12.39503477863792,132945
2002-08-06,12.272310256958008,12.415488580707455,12.231403277549694,12.415488580707455,270422
2002-08-07,12.272310256958008,12.497302539524084,12.190495432403525,12.456394694377915,294814
2002-08-08,12.272310256958008,12.415488580707455,12.21094935497661,12.415488580707455,182438
2002-08-09,12.272310256958008,12.354125947250346,12.21094935497661,12.251857200122778,225134
2002-08-12,12.37458324432373,12.395036305305513,12.190497903845408,12.272312744986632,165155
2002-08-13,12.415489196777344,12.476850101803537,12.272310865923235,12.333673502425222,70647
2002-08-14,12.395033836364746,12.476849526947305,12.333672934165685,12.333672934165685,82282
2002-08-15,12.395033836364746,12.395033836364746,12.395033836364746,12.395033836364746,0
2002-08-16,12.824564933776855,12.988196320726102,12.374581216880099,12.476849967985489,329959
2002-08-19,13.19273567199707,13.295004430725074,12.59957358157042,12.763204980715953,380885
2002-08-20,13.540451049804688,13.74499030456894,13.131375137490119,13.417728362684114,662703
2002-08-21,13.601812362670898,13.806350731707699,13.090466007209951,13.806350731707699,277827
2002-08-22,13.213189125061035,13.704082471394086,13.151828214290136,13.704082471394086,189859
2002-08-23,13.315457344055176,13.49954178837122,13.131373765477019,13.29500342071585,171919
2002-08-26,13.233641624450684,13.499540878463778,13.172278992830835,13.417726056358914,96891
2002-08-27,13.131376266479492,13.31545988011822,13.110921473506457,13.233645036916347,130388
2002-08-28,13.0700101852417,13.213186772532708,12.865471832366904,13.213186772532708,178874
2002-08-29,12.722295761108398,13.131373349188522,12.701841838417499,13.090465503806723,132889
2002-08-30,13.295003890991211,13.458635283493841,12.62002699413161,12.681388766320097,475193
2002-09-02,13.479090690612793,13.847260498514201,13.356367132732984,13.49954375118808,460012
2002-09-03,13.27454948425293,13.397272150425959,13.131372896094758,13.397272150425959,210570
2002-09-04,13.458635330200195,13.744989402335635,13.090466427267431,13.090466427267431,394284
2002-09-05,13.499541282653809,13.704080508384655,13.458634303245494,13.622264818092317,249955
2002-09-06,13.295003890991211,13.704081506509871,13.213188194739894,13.704081506509871,233069
2002-09-09,13.029104232788086,13.458635788486383,12.988197248865443,13.131374722677524,447204
2002-09-10,13.029104232788086,13.029104232788086,13.029104232788086,13.029104232788086,0
2002-09-11,13.049556732177734,13.335909898049481,12.96774104722135,13.335909898049481,85711
2002-09-12,13.295003890991211,14.031343425777214,13.008650685587442,13.090466381838757,563086
2002-09-13,13.929072380065918,14.113157689234976,13.295003356808374,13.47908866597743,2817563
2002-09-16,14.010890007019043,14.460875514696916,13.274552131654168,13.99043694669269,1095474
2002-09-17,14.256335258483887,14.338150957027844,13.908620271147955,14.215427409211909,2655073
2002-09-18,14.031343460083008,14.41996628675108,13.969980822006574,14.276789683699139,432522
2002-09-19,12.84501838684082,14.31769552177985,12.53820956822294,13.744987458502072,7152614
2002-09-20,13.785897254943848,13.969981718028475,12.68138961069811,12.885927999207471,1271550
2002-09-23,13.356365203857422,13.867711556367228,13.295003433779153,13.847258498745692,173040
2002-09-24,12.74275016784668,13.295004407523175,12.681389259012143,13.295004407523175,1048120
2002-09-25,12.947288513183594,13.335911326888734,12.64048052746286,12.68138837432401,752213
2002-09-26,12.824564933776855,13.13137378430669,12.763204029408778,12.885926703882824,336088
2002-09-27,13.090465545654297,13.233642139210438,12.783656704310005,13.049557700141724,298476
2002-09-30,12.804113388061523,13.090467483297632,12.763205536493794,13.090467483297632,205277
2002-10-01,13.110919952392578,13.15182780211646,12.82456587006336,12.885927644649183,404042
2002-10-02,13.110919952392578,13.110919952392578,13.110919952392578,13.110919952392578,0
2002-10-03,13.090465545654297,13.172279505203717,12.783656704310005,13.172279505203717,274210
