Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2026-06-16 09:15:00+05:30,2179.300048828125,2179.89990234375,2162.699951171875,2165.0,0
2026-06-16 09:20:00+05:30,2176.39990234375,2184.199951171875,2175.89990234375,2179.5,111669
2026-06-16 09:25:00+05:30,2183.89990234375,2184.0,2178.199951171875,2179.300048828125,67990
2026-06-16 09:30:00+05:30,2187.199951171875,2190.89990234375,2183.39990234375,2183.39990234375,134575
2026-06-16 09:35:00+05:30,2195.0,2198.0,2183.60009765625,2187.89990234375,165064
2026-06-16 09:40:00+05:30,2192.199951171875,2196.5,2191.199951171875,2195.5,86988
2026-06-16 09:45:00+05:30,2188.300048828125,2192.199951171875,2186.199951171875,2192.199951171875,84974
2026-06-16 09:50:00+05:30,2187.39990234375,2188.5,2186.0,2187.89990234375,40014
2026-06-16 09:55:00+05:30,2195.699951171875,2195.699951171875,2187.10009765625,2187.699951171875,85470
2026-06-16 10:00:00+05:30,2195.5,2199.300048828125,2194.0,2195.89990234375,74465
2026-06-16 10:05:00+05:30,2195.89990234375,2197.800048828125,2192.89990234375,2195.5,40738
2026-06-16 10:10:00+05:30,2195.300048828125,2196.0,2194.199951171875,2195.89990234375,17267
2026-06-16 10:15:00+05:30,2202.800048828125,2203.60009765625,2194.800048828125,2195.699951171875,80308
2026-06-16 10:20:00+05:30,2205.800048828125,2208.89990234375,2201.39990234375,2202.89990234375,90985
2026-06-16 10:25:00+05:30,2201.10009765625,2207.39990234375,2200.0,2205.800048828125,55031
2026-06-16 10:30:00+05:30,2194.5,2205.800048828125,2194.199951171875,2201.10009765625,60103
2026-06-16 10:35:00+05:30,2193.5,2197.89990234375,2191.5,2195.0,50180
2026-06-16 10:40:00+05:30,2192.199951171875,2195.0,2190.10009765625,2193.300048828125,50324
2026-06-16 10:45:00+05:30,2191.0,2192.89990234375,2190.5,2191.0,33249
2026-06-16 10:50:00+05:30,2190.5,2192.10009765625,2188.5,2191.10009765625,34794
2026-06-16 10:55:00+05:30,2189.39990234375,2191.89990234375,2188.60009765625,2190.5,20518
2026-06-16 11:00:00+05:30,2189.0,2191.5,2189.0,2189.800048828125,20854
