Price,Close,High,Low,Open,Volume
Ticker,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS
2002-07-01,0.39018240571022034,0.3994275551864765,0.3777157104079991,0.3777157104079991,219230
2002-07-02,0.3924235701560974,0.399147837901172,0.3908131196752406,0.3981667267707356,610448
2002-07-03,0.39403486251831055,0.39977802138347746,0.3840897328815147,0.396906785687958,341608
2002-07-04,0.3985171318054199,0.40166877018055064,0.3905327664194805,0.3965563701747354,278926
2002-07-05,0.40299949049949646,0.40776226737375015,0.3946655440209529,0.4010387287298528,589760
2002-07-08,0.40552106499671936,0.412244603024646,0.3965563619485241,0.3965563619485241,489099
2002-07-09,0.40489107370376587,0.41511656187627793,0.4013890811832081,0.4029994890119098,3218464
2002-07-10,0.3764548897743225,0.39564585171202044,0.37099213648179347,0.39564585171202044,1384341
2002-07-11,0.3738641142845154,0.3758248757582922,0.3588757870109639,0.3588757870109639,150270
2002-07-12,0.38345882296562195,0.39655631704362665,0.3780660202462661,0.39655631704362665,241873
2002-07-15,0.38443925976753235,0.39501514425722756,0.3742137291922066,0.38380923285480256,503303
2002-07-16,0.38317930698394775,0.39207410516330493,0.37484462835721066,0.37484462835721066,249284
2002-07-17,0.36363786458969116,0.3703621328520126,0.33296129629430377,0.33898487825591966,213569
2002-07-18,0.36622941493988037,0.37099219164116215,0.3485796593731627,0.3518019572912324,275324
2002-07-19,0.37134256958961487,0.3751242352452629,0.3620275115207362,0.36237782249855194,133802
2002-07-22,0.3585255444049835,0.3709922420490886,0.35817519043510626,0.36622946470067275,216657
2002-07-23,0.3648987412452698,0.3665098797321968,0.34731964217019834,0.34731964217019834,401613
2002-07-24,0.3648987412452698,0.3697314692319651,0.3559340362008413,0.36461906819378814,344798
2002-07-25,0.3495607376098633,0.36461897268624005,0.3454279882263076,0.36461897268624005,381851
2002-07-26,0.35117125511169434,0.37099224994463986,0.34094572269867884,0.37099224994463986,517609
2002-07-29,0.306416779756546,0.306416779756546,0.2814134583393957,0.30445601801703787,171884
2002-07-30,0.30830833315849304,0.31180959508593187,0.2910089317006598,0.3006036835515779,665615
2002-07-31,0.3035455048084259,0.3101991130101709,0.2990631323647018,0.30130431858656387,55579
2002-08-01,0.3214050233364105,0.3256076798681599,0.3064167185109491,0.3064167185109491,311348
2002-08-02,0.32427704334259033,0.3323312954897748,0.29325011671556855,0.29325011671556855,282117
2002-08-05,0.3454280495643616,0.3454280495643616,0.32623781362138127,0.3313509231858326,188352
2002-08-06,0.33520254492759705,0.3374437317784094,0.33359211550759776,0.33359211550759776,66901
2002-08-07,0.34255680441856384,0.3499103911661901,0.33583326607607955,0.3460587967950558,248255
2002-08-08,0.33520254492759705,0.34542805526774256,0.33261102560320605,0.34542805526774256,165812
2002-08-09,0.3389849066734314,0.3389849066734314,0.3297397567369585,0.3358332681963331,324213
2002-08-12,0.33261096477508545,0.3454279920956353,0.33261096477508545,0.33261096477508545,108071
2002-08-13,0.3297398090362549,0.3389849604390806,0.32623783756577507,0.33233132850806313,113217
2002-08-14,0.3271482586860657,0.33457248390723654,0.3262378067733284,0.329389445452829,119084
2002-08-15,0.3271482586860657,0.3271482586860657,0.3271482586860657,0.3271482586860657,0
2002-08-16,0.3348521590232849,0.3383541514440069,0.3293894263796167,0.33261099386985865,79869
2002-08-19,0.32749858498573303,0.34031561308771247,0.32560773083901823,0.32623777923541775,154490
